
time (s)       v("P" ?resultsDir "/home/meow/jxy/codex_sandbox/sar0716_calibration_20260717/switch_cdac_map/psf" ?result "tran") (V)
 3.81227e-07    9.00000e-01   
 3.81433e-07    9.00000e-01   
 3.81845e-07    9.00000e-01   
 3.82668e-07    9.00000e-01   
 3.83668e-07    9.00000e-01   
 3.84668e-07    9.00000e-01   
 3.85668e-07    9.00000e-01   
 3.86668e-07    9.00000e-01   
 3.87668e-07    9.00000e-01   
 3.88668e-07    9.00000e-01   
 3.89668e-07    9.00000e-01   
 3.90668e-07    9.00000e-01   
 3.91668e-07    9.00000e-01   
 3.92668e-07    9.00000e-01   
 3.93668e-07    9.00000e-01   
 3.94668e-07    9.00000e-01   
 3.95668e-07    9.00000e-01   
 3.96668e-07    9.00000e-01   
 3.97668e-07    9.00000e-01   
 3.98668e-07    9.00000e-01   
 3.99668e-07    9.00000e-01   
 4.00334e-07    9.00000e-01   
 4.01000e-07    9.00000e-01   
 4.01003e-07    9.00000e-01   
 4.01005e-07    9.00149e-01   
 4.01005e-07    9.54358e-01   
 4.01005e-07    9.28909e-01   
 4.01005e-07    9.21070e-01   
 4.01006e-07    9.19285e-01   
 4.01006e-07    9.16854e-01   
 4.01006e-07    9.15166e-01   
 4.01006e-07    9.13199e-01   
 4.01006e-07    9.11372e-01   
 4.01006e-07    9.09068e-01   
 4.01006e-07    9.06745e-01   
 4.01007e-07    9.04391e-01   
 4.01007e-07    9.02484e-01   
 4.01008e-07    9.01007e-01   
 4.01009e-07    9.00503e-01   
 4.01010e-07    9.00198e-01   
 4.01012e-07    9.00090e-01   
 4.01013e-07    9.00044e-01   
 4.01014e-07    9.00008e-01   
 4.01017e-07    8.99999e-01   
 4.01024e-07    9.00000e-01   
 4.01037e-07    9.00000e-01   
 4.01062e-07    9.00000e-01   
 4.01114e-07    9.00000e-01   
 4.01217e-07    9.00000e-01   
 4.01423e-07    9.00000e-01   
 4.01835e-07    9.00000e-01   
 4.02658e-07    9.00000e-01   
 4.03658e-07    9.00000e-01   
 4.04658e-07    9.00000e-01   
 4.05658e-07    9.00000e-01   
 4.06658e-07    9.00000e-01   
 4.07658e-07    9.00000e-01   
 4.08658e-07    9.00000e-01   
 4.09658e-07    9.00000e-01   
 4.10658e-07    9.00000e-01   
 4.11658e-07    9.00000e-01   
 4.12658e-07    9.00000e-01   
 4.13658e-07    9.00000e-01   
 4.14658e-07    9.00000e-01   
 4.15658e-07    9.00000e-01   
 4.16658e-07    9.00000e-01   
 4.17658e-07    9.00000e-01   
 4.18658e-07    9.00000e-01   
 4.19658e-07    9.00000e-01   
 4.20658e-07    9.00000e-01   
 4.21658e-07    9.00000e-01   
 4.22658e-07    9.00000e-01   
 4.23658e-07    9.00000e-01   
 4.24658e-07    9.00000e-01   
 4.25658e-07    9.00000e-01   
 4.26658e-07    9.00000e-01   
 4.27658e-07    9.00000e-01   
 4.28658e-07    9.00000e-01   
 4.29658e-07    9.00000e-01   
 4.30658e-07    9.00000e-01   
 4.31658e-07    9.00000e-01   
 4.32658e-07    9.00000e-01   
 4.33658e-07    9.00000e-01   
 4.34658e-07    9.00000e-01   
 4.35658e-07    9.00000e-01   
 4.36658e-07    9.00000e-01   
 4.37658e-07    9.00000e-01   
 4.38658e-07    9.00000e-01   
 4.39658e-07    9.00000e-01   
 4.40658e-07    9.00000e-01   
 4.41658e-07    9.00000e-01   
 4.42658e-07    9.00000e-01   
 4.43658e-07    9.00000e-01   
 4.44658e-07    9.00000e-01   
 4.45658e-07    9.00000e-01   
 4.46658e-07    9.00000e-01   
 4.47658e-07    9.00000e-01   
 4.48658e-07    9.00000e-01   
 4.49329e-07    9.00000e-01   
